Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-zm-fhir-smart-immunizations-measles.json	29826	-	0	0	0	0	0	0	8	258	0	0	0	0	0	0	0	2	0	0	351	361	0	0	0	0	13	0	1
fsh-generated/resources/ActivityDefinition-IMMZD2DTMeaslesCIMR.json	1595	21	0	0	0	1	0	0	1	38	0	0	0	0	0	0	0	0	0	0	24	42	0	0	0	0	1	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTMeaslesEval.json	1397	14	1	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	20	39	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTMeaslesMR.json	2094	15	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	26	42	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-CommunityHealthWorker.json	760	8	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	24	48	0	0	0	0	1	0	0
fsh-generated/resources/ActorDefinition-EPIManager.json	728	7	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	17	44	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-HealthWorker.json	559	7	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	23	24	0	0	0	0	1	0	1
fsh-generated/resources/CodeSystem-ICD11.json	5865	33	1	0	0	0	0	0	0	76	0	0	1	0	0	0	0	0	0	0	59	46804	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-IMMZ.C.json	3278	18	0	0	0	0	0	0	1	23	0	0	0	0	0	0	0	0	0	0	31	272	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-IMMZ.D1.DE1.json	1049	10	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	18	276	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-IMMZ.D1.DE5.json	2626	13	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	27	247	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-IMMZ.D1.json	2732	15	1	0	0	0	0	0	0	19	0	0	0	0	0	0	0	1	0	0	30	223	0	0	0	0	3	0	0
fsh-generated/resources/CodeSystem-IMMZ.D4.json	1636	12	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	19	210	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-VaccineProducts.json	972	9	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	18	217	0	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-IMMZCConceptMap.json	7475	42	0	0	0	0	0	0	1	1868	0	0	0	0	0	0	0	0	0	0	79	116	0	0	1	0	4	0	0
fsh-generated/resources/ConceptMap-IMMZCSexToAdministrativeGender.json	2382	14	0	0	0	0	0	0	1	30	0	0	0	0	0	0	0	0	0	0	31	41	0	0	0	0	2	0	0
fsh-generated/resources/ConceptMap-IMMZD1ConceptMap.json	6751	45	1	0	0	0	0	0	0	927	0	0	0	0	0	0	0	0	0	0	74	96	0	0	0	0	2	0	0
fsh-generated/resources/ConceptMap-IMMZD4ConceptMap.json	6407	79	0	0	0	0	0	0	1	601	0	0	0	0	0	0	0	0	0	0	63	83	0	0	0	0	2	0	1
fsh-generated/resources/Immunization-Immunization1.json	890	9	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	14	24	0	0	0	0	0	0	0
fsh-generated/resources/Measure-IMMZIND05.json	3320	16	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	29	26	0	0	0	0	1	0	0
fsh-generated/resources/Measure-IMMZIND40.json	3321	19	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	29	19	0	0	0	0	1	0	0
fsh-generated/resources/Medication-Vaccine-MSDMMRVaxPro.json	1020	9	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	15	19	0	0	0	0	0	0	0
fsh-generated/resources/Medication-Vaccine-SIIMeasles.json	711	7	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	13	0	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-VaccineProposal1.json	459	6	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	11	23	0	0	0	0	0	0	0
fsh-generated/resources/Patient-P123456.json	287	5	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	7	19	0	0	0	0	0	0	0
fsh-generated/resources/Patient-P654321.json	287	6	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	8	12	0	0	0	0	0	0	0
fsh-generated/resources/PlanDefinition-IMMZD2DTMeasles.json	1539	9	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	23	15	0	0	0	0	1	0	0
fsh-generated/resources/PlanDefinition-IMMZD2DTMeaslesCI.json	2241	19	1	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	32	15	0	0	0	0	1	0	0
fsh-generated/resources/PlanDefinition-IMMZDTUmbrella.json	1922	19	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	25	15	0	0	0	0	0	0	0
fsh-generated/resources/Questionnaire-AdministerVaccine.json	6383	72	0	0	0	0	0	0	0	72	1	0	0	0	0	0	0	0	0	0	94	23801	0	0	0	0	6	0	0
fsh-generated/resources/Questionnaire-IMMZD1ClientHistoryMeasles.json	6742	52	0	0	0	0	0	0	1	39	0	0	0	0	0	0	0	0	0	0	89	733	0	0	0	0	3	0	0
fsh-generated/resources/Questionnaire-QIMMZCRegisterClient.json	7634	34	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	96	289	0	0	0	0	4	0	0
fsh-generated/resources/Questionnaire-QIMMZD4CheckContraindicationsMeasles.json	2457	11	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	36	289	0	0	0	0	1	0	0
fsh-generated/resources/QuestionnaireResponse-Example.IMMZ.C.QuestionnaireResponse.1.json	2494	17	1	0	0	0	0	0	1	29	0	0	0	0	0	0	0	0	0	0	61	44	0	0	0	0	0	0	0
fsh-generated/resources/QuestionnaireResponse-Example.IMMZ.D1.QuestionnaireResponse.1.json	1107	12	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	38	22	0	0	0	0	0	0	0
